Precursor Mz,Average Measured Retention Time
532.588874,10.41
489.890553,10.7
506.282723,11.14
578.603184,12.09
582.25422,12.11
519.259779,12.12
490.220654,12.26
633.29709,12.3
433.893235,12.41
437.704305,12.45
535.783087,12.45
545.920513,12.56
587.296558,12.89
526.585353,12.91
439.222331,13.24
420.533596,13.28
461.2196,13.28
453.237981,13.43
493.785098,13.5
448.308012,13.56
427.533707,13.58
491.562325,13.64
598.312543,13.64
517.737822,13.69
538.272552,13.9
446.864227,13.97
513.782556,13.97
475.743096,13.98
479.259248,13.98
446.216601,13.99
479.204669,14.05
524.718575,14.09
571.843282,14.15
563.765425,14.18
501.788172,14.18
518.251285,14.2
408.719758,14.21
575.770373,14.22
426.873952,14.25
533.727789,14.25
533.262853,14.25
464.733397,14.26
527.269812,14.29
427.213191,14.29
404.862047,14.29
425.5251,14.32
431.877585,14.33
582.822212,14.34
524.238709,14.36
511.22706,14.39
452.737094,14.4
492.890665,14.41
525.762351,14.44
497.775065,14.45
574.762548,14.45
430.222665,14.46
509.743627,14.47
424.543549,14.47
527.269812,14.48
474.261456,14.49
595.294016,14.5
409.709391,14.5
512.743962,14.51
457.701763,14.52
486.267073,14.52
561.587422,14.52
573.286525,14.53
516.757069,14.53
503.767437,14.56
562.265593,14.56
561.578592,14.56
465.214537,14.57
580.29435,14.57
607.294016,14.58
524.275095,14.59
529.26727,14.59
543.233958,14.6
561.749775,14.6
678.300361,14.61
614.782958,14.63
527.235112,14.63
445.732531,14.63
553.770511,14.64
495.248546,14.65
598.957849,14.66
449.206681,14.66
448.864004,14.66
572.251628,14.68
589.275823,14.69
430.222665,14.69
406.2121,14.7
621.758329,14.71
499.790715,14.72
463.738148,14.72
583.301644,14.72
509.25162,14.74
599.247363,14.74
529.240198,14.74
448.207994,14.75
466.23323,14.75
663.276886,14.76
430.229624,14.77
512.762154,14.78
481.748713,14.79
563.771042,14.79
494.277106,14.79
491.237124,14.79
502.243795,14.8
511.750398,14.8
529.783087,14.8
558.288871,14.81
475.264333,14.81
449.740691,14.82
726.315873,14.82
529.783087,14.82
543.264279,14.82
481.256705,14.83
465.243598,14.83
557.251928,14.84
704.334204,14.85
519.748524,14.85
608.754201,14.85
524.238709,14.85
452.564001,14.86
437.219257,14.86
460.205819,14.87
499.790715,14.87
598.786358,14.87
611.759483,14.89
530.287671,14.89
440.856961,14.9
447.223485,14.9
659.27804,14.91
474.212494,14.91
464.241389,14.91
491.587028,14.91
586.768165,14.91
495.562325,14.92
560.765091,14.92
566.765091,14.93
611.861337,14.94
663.797651,14.95
460.228282,14.95
487.766905,14.95
495.248546,14.96
495.254162,14.96
408.222134,14.96
846.368114,14.97
579.796726,14.97
588.724055,14.97
688.855106,15
539.262184,15.01
543.246534,15.01
439.745776,15.02
559.214377,15.02
466.903911,15.02
495.751787,15.04
421.740159,15.04
616.267278,15.05
539.778001,15.05
559.24662,15.06
482.231841,15.06
474.230687,15.06
515.269812,15.07
612.807625,15.08
523.272886,15.08
527.257236,15.1
492.303458,15.1
464.21758,15.1
517.249077,15.1
561.772916,15.11
581.269486,15.13
437.740691,15.13
639.271269,15.13
439.553324,15.13
472.215037,15.14
496.242593,15.15
534.265061,15.15
552.242937,15.15
450.256508,15.16
474.740888,15.16
423.21484,15.16
451.222331,15.16
456.748516,15.17
458.203084,15.17
466.756006,15.17
471.243598,15.18
515.275429,15.18
515.269812,15.18
661.770767,15.18
553.259642,15.19
501.74617,15.19
605.762745,15.19
449.704305,15.2
534.735614,15.2
560.26185,15.21
479.241055,15.21
636.278563,15.21
454.556735,15.21
515.767437,15.22
658.302903,15.22
406.716684,15.23
698.315342,15.24
453.237981,15.24
435.2194,15.24
469.24614,15.25
420.197206,15.26
513.272355,15.26
463.209755,15.29
492.78289,15.29
494.743962,15.3
585.237329,15.32
523.254694,15.32
492.78289,15.33
456.220122,15.33
471.874903,15.33
473.222862,15.33
401.53393,15.34
530.275095,15.35
421.250694,15.35
425.886192,15.35
424.553213,15.35
443.740691,15.37
413.537674,15.37
445.703774,15.38
520.239863,15.39
538.243795,15.4
676.264941,15.41
495.248546,15.41
495.758746,15.41
552.257433,15.42
498.764697,15.42
425.214309,15.43
435.204361,15.43
443.740691,15.43
571.793652,15.43
484.798009,15.44
666.78742,15.45
907.443002,15.46
479.27744,15.48
516.253828,15.48
458.556289,15.49
503.743627,15.49
778.874224,15.49
547.746033,15.49
614.781272,15.51
458.190508,15.51
451.264333,15.51
544.806562,15.52
463.222331,15.52
430.222665,15.53
581.782949,15.54
572.246011,15.55
574.726597,15.55
494.201073,15.55
496.749047,15.56
542.275095,15.56
429.221352,15.57
530.275095,15.58
434.225208,15.58
581.761494,15.58
465.237981,15.58
479.567411,15.59
587.296558,15.59
413.730126,15.6
551.759809,15.61
620.267141,15.62
484.23323,15.63
520.913135,15.63
485.295633,15.63
489.911066,15.63
467.229821,15.63
515.76182,15.64
516.246869,15.64
511.88307,15.64
495.758746,15.64
409.210564,15.65
421.200839,15.65
577.719304,15.66
589.26459,15.66
525.744159,15.66
500.738345,15.67
558.275626,15.69
452.548128,15.69
478.739499,15.7
502.256371,15.72
506.725769,15.73
572.910453,15.73
584.2787,15.74
599.275103,15.74
569.783618,15.74
645.781469,15.75
499.238512,15.75
510.764028,15.75
428.70464,15.76
658.786032,15.76
437.735074,15.77
439.553324,15.77
478.749047,15.78
525.762351,15.78
583.763317,15.78
451.743765,15.78
471.907544,15.78
537.261464,15.8
406.206484,15.8
438.192344,15.81
603.819866,15.81
484.730854,15.82
524.238709,15.83
522.290213,15.83
541.907938,15.83
537.319305,15.83
823.908264,15.84
566.273518,15.84
509.767437,15.85
571.777813,15.85
496.560039,15.86
500.26453,15.86
712.841861,15.86
496.234915,15.87
428.684527,15.87
569.746564,15.88
453.232364,15.88
576.822212,15.88
727.833899,15.89
545.262184,15.9
656.299161,15.91
791.81658,15.91
602.262193,15.91
533.25162,15.91
552.785827,15.91
558.275626,15.92
561.764037,15.92
439.703774,15.93
443.248683,15.93
485.738679,15.93
502.748378,15.93
456.214506,15.93
567.751461,15.96
444.742899,15.96
523.746701,15.97
579.280908,15.97
526.787118,15.97
473.208366,15.97
473.259248,15.97
512.270147,15.98
496.256371,15.98
543.252151,15.99
434.207015,16
455.212297,16.01
488.258913,16.01
487.739833,16.01
493.251088,16.01
594.832777,16.01
753.332389,16.01
637.817135,16.02
521.882847,16.02
556.7576,16.03
538.259976,16.03
452.722164,16.04
435.225319,16.04
851.871741,16.04
615.812907,16.04
522.290213,16.04
588.304383,16.05
545.262184,16.05
469.545395,16.05
499.736137,16.05
498.881612,16.05
536.280711,16.05
401.536394,16.06
531.756735,16.07
434.860483,16.07
436.732866,16.08
678.260478,16.11
692.308383,16.11
508.292756,16.11
436.732866,16.11
563.765425,16.11
596.793849,16.12
490.251423,16.12
526.898609,16.13
516.265061,16.13
646.319176,16.13
510.235635,16.14
466.23323,16.16
504.736956,16.17
441.701231,16.18
442.235241,16.18
429.706848,16.18
436.253434,16.19
519.818941,16.19
617.28893,16.19
602.265455,16.2
490.785433,16.2
499.743096,16.2
522.757069,16.2
427.229959,16.22
546.73326,16.22
436.235241,16.23
575.746564,16.23
502.753995,16.25
549.749775,16.25
531.751118,16.26
452.722164,16.26
429.212968,16.26
529.59055,16.26
451.240524,16.27
583.799268,16.27
617.283314,16.28
624.789432,16.28
495.751787,16.28
506.251954,16.28
549.744159,16.29
474.75908,16.29
420.714142,16.29
501.254162,16.3
551.262184,16.3
511.222005,16.3
446.735408,16.3
604.785689,16.3
465.741222,16.31
515.758558,16.32
654.325513,16.32
662.304777,16.33
539.27476,16.33
602.799465,16.34
484.74343,16.34
459.219788,16.34
458.230156,16.34
587.77599,16.35
462.73594,16.35
595.230558,16.35
414.545947,16.36
499.766905,16.36
474.912741,16.36
564.791443,16.37
449.89698,16.37
581.778001,16.38
606.261473,16.38
593.794183,16.38
471.256174,16.39
495.248546,16.39
516.259445,16.4
670.831297,16.41
514.267604,16.41
480.70124,16.42
523.766905,16.43
402.216517,16.43
450.256508,16.45
465.766374,16.46
624.807625,16.47
495.266738,16.47
494.591333,16.47
653.317688,16.48
422.525434,16.48
431.704305,16.49
485.727446,16.49
560.285659,16.5
592.798934,16.5
399.714476,16.5
496.574788,16.5
583.294016,16.5
524.256902,16.51
760.857374,16.51
713.308048,16.52
479.733063,16.52
540.780879,16.52
477.563443,16.53
463.228172,16.54
527.908161,16.54
532.272552,16.56
538.251097,16.56
477.555059,16.57
478.23323,16.57
585.765288,16.57
468.221808,16.58
522.74819,16.58
596.265455,16.58
639.271269,16.59
641.782624,16.59
434.200728,16.6
555.237402,16.61
462.237113,16.61
474.220122,16.61
519.228341,16.61
553.735811,16.61
472.555171,16.61
470.800551,16.61
524.74891,16.62
441.227416,16.63
540.266747,16.64
516.569257,16.64
435.227416,16.64
437.708002,16.64
457.563889,16.65
451.222331,16.65
536.293287,16.65
399.198659,16.66
627.796726,16.66
537.762351,16.66
474.912741,16.67
485.246672,16.67
421.224342,16.67
438.240858,16.68
492.740888,16.69
609.255088,16.69
497.216049,16.7
541.733891,16.7
405.745245,16.7
